I'm sorry, but errors were detected in your script. Please correct the
File "game/scenario/salles/4_1.rpy", line 550: Line with id 086827d7 appears twice. The other line is game/scenario/salles/4_0.rpy:550

File "game/scenario/salles/4_1.rpy", line 552: Line with id 77416b1d appears twice. The other line is game/scenario/salles/4_0.rpy:552

File "game/scenario/salles/4_1.rpy", line 554: Line with id 1720b825 appears twice. The other line is game/scenario/salles/4_0.rpy:554

File "game/scenario/salles/4_1.rpy", line 557: Line with id 5c9e6969 appears twice. The other line is game/scenario/salles/4_0.rpy:557

File "game/scenario/salles/4_1.rpy", line 560: Line with id 032e0ab5 appears twice. The other line is game/scenario/salles/4_0.rpy:560

File "game/scenario/salles/4_1.rpy", line 561: Line with id dc9cd8d7 appears twice. The other line is game/scenario/salles/4_0.rpy:561

File "game/scenario/salles/4_1.rpy", line 563: Line with id 6f3dfd6c appears twice. The other line is game/scenario/salles/4_0.rpy:563

File "game/scenario/salles/4_1.rpy", line 569: Line with id 7e591294 appears twice. The other line is game/scenario/salles/4_0.rpy:569

File "game/scenario/salles/4_1.rpy", line 570: Line with id 472fb14b appears twice. The other line is game/scenario/salles/4_0.rpy:570

File "game/scenario/salles/4_1.rpy", line 572: Line with id 4391a2b0 appears twice. The other line is game/scenario/salles/4_0.rpy:572

File "game/scenario/salles/4_1.rpy", line 573: Line with id 2f84c144 appears twice. The other line is game/scenario/salles/4_0.rpy:573

File "game/scenario/salles/4_1.rpy", line 575: Line with id a349a704 appears twice. The other line is game/scenario/salles/4_0.rpy:575

File "game/scenario/salles/4_1.rpy", line 576: Line with id 8d053a21 appears twice. The other line is game/scenario/salles/4_0.rpy:576

File "game/scenario/salles/4_1.rpy", line 578: Line with id f8f6ce60 appears twice. The other line is game/scenario/salles/4_0.rpy:578

File "game/scenario/salles/4_1.rpy", line 579: Line with id 6400aa7e appears twice. The other line is game/scenario/salles/4_0.rpy:579

File "game/scenario/salles/4_1.rpy", line 581: Line with id a15a4e12 appears twice. The other line is game/scenario/salles/4_0.rpy:581

File "game/scenario/salles/4_1.rpy", line 582: Line with id fec1caf8 appears twice. The other line is game/scenario/salles/4_0.rpy:582

File "game/scenario/salles/4_1.rpy", line 584: Line with id 55bc5b2c appears twice. The other line is game/scenario/salles/4_0.rpy:584

File "game/scenario/salles/4_1.rpy", line 587: Line with id f2f82d0a appears twice. The other line is game/scenario/salles/4_0.rpy:587

File "game/scenario/salles/4_1.rpy", line 590: Line with id 71e286c0 appears twice. The other line is game/scenario/salles/4_0.rpy:590

File "game/scenario/salles/4_1.rpy", line 595: Line with id b27fb522 appears twice. The other line is game/scenario/salles/4_0.rpy:595

File "game/scenario/salles/4_1.rpy", line 596: Line with id 1ebf2aca appears twice. The other line is game/scenario/salles/4_0.rpy:596

File "game/scenario/salles/4_1.rpy", line 597: Line with id 312b498d appears twice. The other line is game/scenario/salles/4_0.rpy:597

File "game/scenario/salles/4_1.rpy", line 600: Line with id 05fe042e appears twice. The other line is game/scenario/salles/4_0.rpy:600

File "game/scenario/salles/4_1.rpy", line 601: Line with id 11bcfd3c appears twice. The other line is game/scenario/salles/4_0.rpy:601

File "game/scenario/salles/4_1.rpy", line 603: Line with id 7b5296af appears twice. The other line is game/scenario/salles/4_0.rpy:603

File "game/scenario/salles/4_1.rpy", line 604: Line with id 77cf0a0a appears twice. The other line is game/scenario/salles/4_0.rpy:604

File "game/scenario/salles/4_1.rpy", line 605: Line with id afe762a6 appears twice. The other line is game/scenario/salles/4_0.rpy:605

File "game/scenario/salles/4_1.rpy", line 607: Line with id 9c905479 appears twice. The other line is game/scenario/salles/4_0.rpy:607

File "game/scenario/salles/4_1.rpy", line 608: Line with id 2a6727c4 appears twice. The other line is game/scenario/salles/4_0.rpy:608

File "game/scenario/salles/4_1.rpy", line 622: Line with id 558a59fb appears twice. The other line is game/scenario/salles/4_0.rpy:622

File "game/scenario/salles/4_1.rpy", line 623: Line with id bcf6afec appears twice. The other line is game/scenario/salles/4_0.rpy:623

File "game/scenario/salles/4_1.rpy", line 624: Line with id b19e4c56 appears twice. The other line is game/scenario/salles/4_0.rpy:624

File "game/scenario/salles/4_1.rpy", line 625: Line with id 5b971b18 appears twice. The other line is game/scenario/salles/4_0.rpy:625

File "game/scenario/salles/4_1.rpy", line 626: Line with id 6593fb1d appears twice. The other line is game/scenario/salles/4_0.rpy:626

File "game/scenario/salles/4_1.rpy", line 629: Line with id 3d7c144b appears twice. The other line is game/scenario/salles/4_0.rpy:629

File "game/scenario/salles/4_1.rpy", line 631: Line with id facaad0e appears twice. The other line is game/scenario/salles/4_0.rpy:631

File "game/scenario/salles/4_1.rpy", line 634: Line with id 4f495b83 appears twice. The other line is game/scenario/salles/4_0.rpy:634

File "game/scenario/salles/4_1.rpy", line 635: Line with id c409bdcc appears twice. The other line is game/scenario/salles/4_0.rpy:635

File "game/scenario/salles/4_1.rpy", line 638: Line with id 4bd5d389 appears twice. The other line is game/scenario/salles/4_0.rpy:638

File "game/scenario/salles/4_1.rpy", line 639: Line with id 67225ffb appears twice. The other line is game/scenario/salles/4_0.rpy:639

File "game/scenario/salles/4_1.rpy", line 640: Line with id c8e2a24e appears twice. The other line is game/scenario/salles/4_0.rpy:640

File "game/scenario/salles/4_1.rpy", line 642: Line with id 76c20f4b appears twice. The other line is game/scenario/salles/4_0.rpy:642

File "game/scenario/salles/4_1.rpy", line 644: Line with id 346e3ee1 appears twice. The other line is game/scenario/salles/4_0.rpy:644

File "game/scenario/salles/4_1.rpy", line 652: Line with id 4e2a3505 appears twice. The other line is game/scenario/salles/4_0.rpy:652

File "game/scenario/salles/4_1.rpy", line 653: Line with id 763c46c3 appears twice. The other line is game/scenario/salles/4_0.rpy:653

File "game/scenario/salles/4_1.rpy", line 654: Line with id 7a9b6532 appears twice. The other line is game/scenario/salles/4_0.rpy:654

File "game/scenario/salles/4_1.rpy", line 655: Line with id 2a93e7b8 appears twice. The other line is game/scenario/salles/4_0.rpy:655

File "game/scenario/salles/4_1.rpy", line 657: Line with id be1f80e8 appears twice. The other line is game/scenario/salles/4_0.rpy:657

File "game/scenario/salles/4_1.rpy", line 658: Line with id d901ef6a appears twice. The other line is game/scenario/salles/4_0.rpy:658

File "game/scenario/salles/4_1.rpy", line 664: Line with id 85c56c8b appears twice. The other line is game/scenario/salles/4_0.rpy:664

File "game/scenario/salles/4_1.rpy", line 665: Line with id 58392e6c appears twice. The other line is game/scenario/salles/4_0.rpy:665

File "game/scenario/salles/4_1.rpy", line 666: Line with id 0779ef9f appears twice. The other line is game/scenario/salles/4_0.rpy:666

File "game/scenario/salles/4_1.rpy", line 668: Line with id d3fc178b appears twice. The other line is game/scenario/salles/4_0.rpy:668

File "game/scenario/salles/4_1.rpy", line 669: Line with id 9f39407d appears twice. The other line is game/scenario/salles/4_0.rpy:669

File "game/scenario/salles/4_1.rpy", line 670: Line with id be03aff3 appears twice. The other line is game/scenario/salles/4_0.rpy:670

File "game/scenario/salles/4_1.rpy", line 673: Line with id 68a0aa0b appears twice. The other line is game/scenario/salles/4_0.rpy:673

File "game/scenario/salles/4_1.rpy", line 674: Line with id 07ab1aaa appears twice. The other line is game/scenario/salles/4_0.rpy:674

File "game/scenario/salles/4_1.rpy", line 675: Line with id d6071910 appears twice. The other line is game/scenario/salles/4_0.rpy:675

File "game/scenario/salles/4_1.rpy", line 677: Line with id cf006f20 appears twice. The other line is game/scenario/salles/4_0.rpy:677

File "game/scenario/salles/4_1.rpy", line 681: Line with id 06607069 appears twice. The other line is game/scenario/salles/4_0.rpy:681

File "game/scenario/salles/4_1.rpy", line 682: Line with id 8662463f appears twice. The other line is game/scenario/salles/4_0.rpy:682

File "game/scenario/salles/4_1.rpy", line 685: Line with id 2a2ebbc0 appears twice. The other line is game/scenario/salles/4_0.rpy:685

File "game/scenario/salles/4_1.rpy", line 686: Line with id 9a01ec55 appears twice. The other line is game/scenario/salles/4_0.rpy:686

File "game/scenario/salles/4_1.rpy", line 687: Line with id 0e5cc564 appears twice. The other line is game/scenario/salles/4_0.rpy:687

File "game/scenario/salles/4_1.rpy", line 690: Line with id 1fa8f36c appears twice. The other line is game/scenario/salles/4_0.rpy:690

File "game/scenario/salles/4_1.rpy", line 691: Line with id d6f3cec7 appears twice. The other line is game/scenario/salles/4_0.rpy:691

File "game/scenario/salles/4_1.rpy", line 693: Line with id e600af0f appears twice. The other line is game/scenario/salles/4_0.rpy:693

File "game/scenario/salles/4_1.rpy", line 696: Line with id 00d83b5b appears twice. The other line is game/scenario/salles/4_0.rpy:696

File "game/scenario/salles/4_1.rpy", line 697: Line with id 936962c6 appears twice. The other line is game/scenario/salles/4_0.rpy:697

File "game/scenario/salles/4_1.rpy", line 698: Line with id 843b3538 appears twice. The other line is game/scenario/salles/4_0.rpy:698

File "game/scenario/salles/4_1.rpy", line 700: Line with id 5ab33ae3 appears twice. The other line is game/scenario/salles/4_0.rpy:700

File "game/scenario/salles/4_1.rpy", line 701: Line with id af1fcbe2 appears twice. The other line is game/scenario/salles/4_0.rpy:701

File "game/scenario/salles/4_1.rpy", line 702: Line with id b22e9027 appears twice. The other line is game/scenario/salles/4_0.rpy:702

File "game/scenario/salles/4_1.rpy", line 705: Line with id dcc33b2f appears twice. The other line is game/scenario/salles/4_0.rpy:705

File "game/scenario/salles/4_1.rpy", line 707: Line with id aed69181 appears twice. The other line is game/scenario/salles/4_0.rpy:707

File "game/scenario/salles/4_1.rpy", line 708: Line with id a39ad00e appears twice. The other line is game/scenario/salles/4_0.rpy:708

File "game/scenario/salles/4_1.rpy", line 710: Line with id b244d4d2 appears twice. The other line is game/scenario/salles/4_0.rpy:710

File "game/scenario/salles/4_1.rpy", line 715: Line with id 1e16fec4 appears twice. The other line is game/scenario/salles/4_0.rpy:715

File "game/scenario/salles/4_1.rpy", line 720: Line with id c33db704 appears twice. The other line is game/scenario/salles/4_0.rpy:720

File "game/scenario/salles/4_1.rpy", line 721: Line with id c7379a4a appears twice. The other line is game/scenario/salles/4_0.rpy:721

File "game/scenario/salles/4_1.rpy", line 737: Line with id a23231d1 appears twice. The other line is game/scenario/salles/4_0.rpy:737

File "game/scenario/salles/4_1.rpy", line 738: Line with id 3900a092 appears twice. The other line is game/scenario/salles/4_0.rpy:738

File "game/scenario/salles/4_1.rpy", line 740: Line with id 7b938cc6 appears twice. The other line is game/scenario/salles/4_0.rpy:740

File "game/scenario/salles/4_1.rpy", line 743: Line with id 5e788971 appears twice. The other line is game/scenario/salles/4_0.rpy:743

File "game/scenario/salles/4_1.rpy", line 745: Line with id 542daf19 appears twice. The other line is game/scenario/salles/4_0.rpy:745

File "game/scenario/salles/4_1.rpy", line 748: Line with id 9706ca4b appears twice. The other line is game/scenario/salles/4_0.rpy:748

File "game/scenario/salles/4_1.rpy", line 750: Line with id 47543cef appears twice. The other line is game/scenario/salles/4_0.rpy:750

File "game/scenario/salles/4_1.rpy", line 751: Line with id 7bfd6b29 appears twice. The other line is game/scenario/salles/4_0.rpy:751

File "game/scenario/salles/4_1.rpy", line 756: Line with id 25ff4c5d appears twice. The other line is game/scenario/salles/4_0.rpy:756

File "game/scenario/salles/4_1.rpy", line 757: Line with id f4aea1bd appears twice. The other line is game/scenario/salles/4_0.rpy:757

File "game/scenario/salles/4_1.rpy", line 758: Line with id 31ed5feb appears twice. The other line is game/scenario/salles/4_0.rpy:758

File "game/scenario/salles/4_1.rpy", line 760: Line with id 2751b58e appears twice. The other line is game/scenario/salles/4_0.rpy:760

File "game/scenario/salles/4_1.rpy", line 765: Line with id 05bc050b appears twice. The other line is game/scenario/salles/4_0.rpy:765

File "game/scenario/salles/4_1.rpy", line 766: Line with id b8c3d515 appears twice. The other line is game/scenario/salles/4_0.rpy:766

File "game/scenario/salles/4_1.rpy", line 769: Line with id a58832b4 appears twice. The other line is game/scenario/salles/4_0.rpy:769

File "game/scenario/salles/4_1.rpy", line 772: Line with id 0cfe4e7a appears twice. The other line is game/scenario/salles/4_0.rpy:772

File "game/scenario/salles/4_1.rpy", line 773: Line with id be366f65 appears twice. The other line is game/scenario/salles/4_0.rpy:773

File "game/scenario/salles/4_1.rpy", line 775: Line with id 41d8fe0b appears twice. The other line is game/scenario/salles/4_0.rpy:775

File "game/scenario/salles/4_1.rpy", line 783: Line with id fa9e0666 appears twice. The other line is game/scenario/salles/4_0.rpy:783

File "game/scenario/salles/4_1.rpy", line 785: Line with id b993b656 appears twice. The other line is game/scenario/salles/4_0.rpy:785

File "game/scenario/salles/4_1.rpy", line 788: Line with id 2287480e appears twice. The other line is game/scenario/salles/4_0.rpy:788

File "game/scenario/salles/4_1.rpy", line 790: Line with id 798a48c6 appears twice. The other line is game/scenario/salles/4_0.rpy:790

File "game/scenario/salles/4_1.rpy", line 793: Line with id 3794d0dd_5 appears twice. The other line is game/scenario/salles/4_0.rpy:793

File "game/scenario/salles/4_1.rpy", line 795: Line with id 4b1c8541 appears twice. The other line is game/scenario/salles/4_0.rpy:795

File "game/scenario/salles/4_1.rpy", line 796: Line with id 28755db9 appears twice. The other line is game/scenario/salles/4_0.rpy:796

File "game/scenario/salles/4_1.rpy", line 801: Line with id d2bcb33d appears twice. The other line is game/scenario/salles/4_0.rpy:801

File "game/scenario/salles/4_1.rpy", line 802: Line with id 0be2dd3a appears twice. The other line is game/scenario/salles/4_0.rpy:802

File "game/scenario/salles/4_1.rpy", line 803: Line with id 1d627adb appears twice. The other line is game/scenario/salles/4_0.rpy:803

File "game/scenario/salles/4_1.rpy", line 804: Line with id 37e0c8b1 appears twice. The other line is game/scenario/salles/4_0.rpy:804

File "game/scenario/salles/4_1.rpy", line 809: Line with id 23699846 appears twice. The other line is game/scenario/salles/4_0.rpy:809

File "game/scenario/salles/4_1.rpy", line 812: Line with id 71425771 appears twice. The other line is game/scenario/salles/4_0.rpy:812

File "game/scenario/salles/4_1.rpy", line 816: Line with id 8c0c4f0d appears twice. The other line is game/scenario/salles/4_0.rpy:816

File "game/scenario/salles/4_1.rpy", line 819: Line with id e46144c2 appears twice. The other line is game/scenario/salles/4_0.rpy:819

File "game/scenario/salles/4_1.rpy", line 820: Line with id a51fd1c1 appears twice. The other line is game/scenario/salles/4_0.rpy:820

File "game/scenario/salles/4_1.rpy", line 822: Line with id 043efa3b appears twice. The other line is game/scenario/salles/4_0.rpy:822

File "game/scenario/salles/4_1.rpy", line 828: Line with id 672157a6 appears twice. The other line is game/scenario/salles/4_0.rpy:828

File "game/scenario/salles/4_1.rpy", line 830: Line with id c004dcb2 appears twice. The other line is game/scenario/salles/4_0.rpy:830

File "game/scenario/salles/4_1.rpy", line 831: Line with id 5d3219b2 appears twice. The other line is game/scenario/salles/4_0.rpy:831

File "game/scenario/salles/4_1.rpy", line 834: Line with id e3902139 appears twice. The other line is game/scenario/salles/4_0.rpy:834

File "game/scenario/salles/4_1.rpy", line 836: Line with id 0991ecf8 appears twice. The other line is game/scenario/salles/4_0.rpy:836

File "game/scenario/salles/4_1.rpy", line 837: Line with id db04c8d6 appears twice. The other line is game/scenario/salles/4_0.rpy:837

File "game/scenario/salles/4_1.rpy", line 839: Line with id 93822c16 appears twice. The other line is game/scenario/salles/4_0.rpy:839

File "game/scenario/salles/4_1.rpy", line 840: Line with id a20da589 appears twice. The other line is game/scenario/salles/4_0.rpy:840

File "game/scenario/salles/4_1.rpy", line 842: Line with id d3c43d2d appears twice. The other line is game/scenario/salles/4_0.rpy:842

File "game/scenario/salles/4_1.rpy", line 843: Line with id 4215ccbd appears twice. The other line is game/scenario/salles/4_0.rpy:843

File "game/scenario/salles/4_1.rpy", line 845: Line with id c2c4c7ce appears twice. The other line is game/scenario/salles/4_0.rpy:845

File "game/scenario/salles/4_1.rpy", line 846: Line with id 39b1bee5 appears twice. The other line is game/scenario/salles/4_0.rpy:846

File "game/scenario/salles/4_1.rpy", line 851: Line with id 083c317a appears twice. The other line is game/scenario/salles/4_0.rpy:851

File "game/scenario/salles/4_1.rpy", line 852: Line with id 1d4bda60 appears twice. The other line is game/scenario/salles/4_0.rpy:852

File "game/scenario/salles/4_1.rpy", line 853: Line with id 574aaa41 appears twice. The other line is game/scenario/salles/4_0.rpy:853

File "game/scenario/salles/4_1.rpy", line 855: Line with id 80b6b613 appears twice. The other line is game/scenario/salles/4_0.rpy:855

File "game/scenario/salles/4_1.rpy", line 857: Line with id b5eae8c7 appears twice. The other line is game/scenario/salles/4_0.rpy:857

File "game/scenario/salles/4_1.rpy", line 861: Line with id 50c87165 appears twice. The other line is game/scenario/salles/4_0.rpy:861

File "game/scenario/salles/4_1.rpy", line 864: Line with id 48e96937 appears twice. The other line is game/scenario/salles/4_0.rpy:864

File "game/scenario/salles/4_1.rpy", line 865: Line with id a0238d7d appears twice. The other line is game/scenario/salles/4_0.rpy:865

File "game/scenario/salles/4_1.rpy", line 868: Line with id 01993c4d appears twice. The other line is game/scenario/salles/4_0.rpy:868

File "game/scenario/salles/4_1.rpy", line 882: Line with id 8f2f0fbc appears twice. The other line is game/scenario/salles/4_0.rpy:882

File "game/scenario/salles/4_1.rpy", line 883: Line with id 9ff1276f appears twice. The other line is game/scenario/salles/4_0.rpy:883

File "game/scenario/salles/4_1.rpy", line 884: Line with id 516a8bf1 appears twice. The other line is game/scenario/salles/4_0.rpy:884

File "game/scenario/salles/4_1.rpy", line 885: Line with id b9260b4d appears twice. The other line is game/scenario/salles/4_0.rpy:885

File "game/scenario/salles/4_1.rpy", line 887: Line with id bc77ed3e appears twice. The other line is game/scenario/salles/4_0.rpy:887

File "game/scenario/salles/4_1.rpy", line 888: Line with id 518285f8 appears twice. The other line is game/scenario/salles/4_0.rpy:888

File "game/scenario/salles/4_1.rpy", line 892: Line with id 3502c329 appears twice. The other line is game/scenario/salles/4_0.rpy:892

File "game/scenario/salles/4_1.rpy", line 893: Line with id 0c41c4c0 appears twice. The other line is game/scenario/salles/4_0.rpy:893

File "game/scenario/salles/4_1.rpy", line 896: Line with id 0879da5f appears twice. The other line is game/scenario/salles/4_0.rpy:896

File "game/scenario/salles/4_1.rpy", line 897: Line with id 9f63f9a3 appears twice. The other line is game/scenario/salles/4_0.rpy:897

File "game/scenario/salles/4_1.rpy", line 898: Line with id ed0ef103 appears twice. The other line is game/scenario/salles/4_0.rpy:898

File "game/scenario/salles/4_1.rpy", line 899: Line with id a5ab285f appears twice. The other line is game/scenario/salles/4_0.rpy:899

File "game/scenario/salles/4_1.rpy", line 902: Line with id 85452378 appears twice. The other line is game/scenario/salles/4_0.rpy:902

File "game/scenario/salles/4_1.rpy", line 903: Line with id 35264e17 appears twice. The other line is game/scenario/salles/4_0.rpy:903

File "game/scenario/salles/4_1.rpy", line 905: Line with id 4d5ae2a8 appears twice. The other line is game/scenario/salles/4_0.rpy:905

File "game/scenario/salles/4_1.rpy", line 909: Line with id b181c050 appears twice. The other line is game/scenario/salles/4_0.rpy:909

File "game/scenario/salles/4_1.rpy", line 910: Line with id 205fb5b8 appears twice. The other line is game/scenario/salles/4_0.rpy:910

File "game/scenario/salles/4_1.rpy", line 912: Line with id e75a9653 appears twice. The other line is game/scenario/salles/4_0.rpy:912

File "game/scenario/salles/4_1.rpy", line 913: Line with id ebd43cdf appears twice. The other line is game/scenario/salles/4_0.rpy:913

File "game/scenario/salles/4_1.rpy", line 915: Line with id 41ff633f appears twice. The other line is game/scenario/salles/4_0.rpy:915

File "game/scenario/salles/4_1.rpy", line 916: Line with id cf663ece appears twice. The other line is game/scenario/salles/4_0.rpy:916

Ren'Py Version: Ren'Py 8.3.7.25031702
Thu Mar  5 19:36:11 2026
