I'm sorry, but errors were detected in your script. Please correct the
File "game/scenario/salles/4_1.rpy", line 155: Line with id 6235cef0 appears twice. The other line is game/scenario/salles/4_0.rpy:155

File "game/scenario/salles/4_1.rpy", line 156: Line with id 9aeb62cc appears twice. The other line is game/scenario/salles/4_0.rpy:156

File "game/scenario/salles/4_1.rpy", line 157: Line with id 34217d75 appears twice. The other line is game/scenario/salles/4_0.rpy:157

File "game/scenario/salles/4_1.rpy", line 161: Line with id d08b4127 appears twice. The other line is game/scenario/salles/4_0.rpy:161

File "game/scenario/salles/4_1.rpy", line 162: Line with id 0f1c9ff0 appears twice. The other line is game/scenario/salles/4_0.rpy:162

File "game/scenario/salles/4_1.rpy", line 166: Line with id 9e9fab1e appears twice. The other line is game/scenario/salles/4_0.rpy:166

File "game/scenario/salles/4_1.rpy", line 167: Line with id 39f4927a appears twice. The other line is game/scenario/salles/4_0.rpy:167

File "game/scenario/salles/4_1.rpy", line 168: Line with id 47f61dd3 appears twice. The other line is game/scenario/salles/4_0.rpy:168

File "game/scenario/salles/4_1.rpy", line 172: Line with id d04812c1 appears twice. The other line is game/scenario/salles/4_0.rpy:172

File "game/scenario/salles/4_1.rpy", line 173: Line with id 6a6c8657 appears twice. The other line is game/scenario/salles/4_0.rpy:173

File "game/scenario/salles/4_1.rpy", line 174: Line with id 9152dc6f appears twice. The other line is game/scenario/salles/4_0.rpy:174

File "game/scenario/salles/4_1.rpy", line 178: Line with id 3794d0dd_2 appears twice. The other line is game/scenario/salles/4_0.rpy:178

File "game/scenario/salles/4_1.rpy", line 179: Line with id a62c9ec9 appears twice. The other line is game/scenario/salles/4_0.rpy:179

File "game/scenario/salles/4_1.rpy", line 180: Line with id af3d3403 appears twice. The other line is game/scenario/salles/4_0.rpy:180

File "game/scenario/salles/4_1.rpy", line 182: Line with id cf349a4a appears twice. The other line is game/scenario/salles/4_0.rpy:182

File "game/scenario/salles/4_1.rpy", line 183: Line with id babdf1b8 appears twice. The other line is game/scenario/salles/4_0.rpy:183

File "game/scenario/salles/4_1.rpy", line 184: Line with id dcf559dc appears twice. The other line is game/scenario/salles/4_0.rpy:184

File "game/scenario/salles/4_1.rpy", line 190: Line with id 2f2d2e15 appears twice. The other line is game/scenario/salles/4_0.rpy:190

File "game/scenario/salles/4_1.rpy", line 191: Line with id d00f24e0 appears twice. The other line is game/scenario/salles/4_0.rpy:191

File "game/scenario/salles/4_1.rpy", line 192: Line with id 2a87ee30 appears twice. The other line is game/scenario/salles/4_0.rpy:192

File "game/scenario/salles/4_1.rpy", line 193: Line with id 2033b383 appears twice. The other line is game/scenario/salles/4_0.rpy:193

File "game/scenario/salles/4_1.rpy", line 195: Line with id da6523a5 appears twice. The other line is game/scenario/salles/4_0.rpy:195

File "game/scenario/salles/4_1.rpy", line 199: Line with id 6460d085 appears twice. The other line is game/scenario/salles/4_0.rpy:199

File "game/scenario/salles/4_1.rpy", line 200: Line with id 9a8a464d appears twice. The other line is game/scenario/salles/4_0.rpy:200

File "game/scenario/salles/4_1.rpy", line 215: Line with id 6a5ae725 appears twice. The other line is game/scenario/salles/4_0.rpy:215

File "game/scenario/salles/4_1.rpy", line 216: Line with id 799d3aa9 appears twice. The other line is game/scenario/salles/4_0.rpy:216

File "game/scenario/salles/4_1.rpy", line 230: Line with id 08791717 appears twice. The other line is game/scenario/salles/4_0.rpy:230

File "game/scenario/salles/4_1.rpy", line 240: Line with id dfbd71be appears twice. The other line is game/scenario/salles/4_0.rpy:240

File "game/scenario/salles/4_1.rpy", line 241: Line with id cfb3bd55 appears twice. The other line is game/scenario/salles/4_0.rpy:241

File "game/scenario/salles/4_1.rpy", line 244: Line with id 595a03da appears twice. The other line is game/scenario/salles/4_0.rpy:244

File "game/scenario/salles/4_1.rpy", line 245: Line with id 7e555d21 appears twice. The other line is game/scenario/salles/4_0.rpy:245

File "game/scenario/salles/4_1.rpy", line 249: Line with id ff2688ab appears twice. The other line is game/scenario/salles/4_0.rpy:249

File "game/scenario/salles/4_1.rpy", line 250: Line with id 1e9d5c24 appears twice. The other line is game/scenario/salles/4_0.rpy:250

File "game/scenario/salles/4_1.rpy", line 258: Line with id 03cefaa9 appears twice. The other line is game/scenario/salles/4_0.rpy:258

File "game/scenario/salles/4_1.rpy", line 259: Line with id 3ab3a71c appears twice. The other line is game/scenario/salles/4_0.rpy:259

File "game/scenario/salles/4_1.rpy", line 262: Line with id b374d213 appears twice. The other line is game/scenario/salles/4_0.rpy:262

File "game/scenario/salles/4_1.rpy", line 263: Line with id 4ecb954c appears twice. The other line is game/scenario/salles/4_0.rpy:263

File "game/scenario/salles/4_1.rpy", line 264: Line with id 0170e833 appears twice. The other line is game/scenario/salles/4_0.rpy:264

File "game/scenario/salles/4_1.rpy", line 267: Line with id 9fcc3ab5 appears twice. The other line is game/scenario/salles/4_0.rpy:267

File "game/scenario/salles/4_1.rpy", line 270: Line with id cbcc59ea appears twice. The other line is game/scenario/salles/4_0.rpy:270

File "game/scenario/salles/4_1.rpy", line 271: Line with id 4cf4551d appears twice. The other line is game/scenario/salles/4_0.rpy:271

File "game/scenario/salles/4_1.rpy", line 275: Line with id 183dfabb appears twice. The other line is game/scenario/salles/4_0.rpy:275

File "game/scenario/salles/4_1.rpy", line 276: Line with id d6a89207 appears twice. The other line is game/scenario/salles/4_0.rpy:276

File "game/scenario/salles/4_1.rpy", line 280: Line with id cf719056 appears twice. The other line is game/scenario/salles/4_0.rpy:280

File "game/scenario/salles/4_1.rpy", line 281: Line with id 001923ea appears twice. The other line is game/scenario/salles/4_0.rpy:281

File "game/scenario/salles/4_1.rpy", line 285: Line with id e5502a8e appears twice. The other line is game/scenario/salles/4_0.rpy:285

File "game/scenario/salles/4_1.rpy", line 286: Line with id d3aba6ee appears twice. The other line is game/scenario/salles/4_0.rpy:286

File "game/scenario/salles/4_1.rpy", line 290: Line with id 84bc3bcf appears twice. The other line is game/scenario/salles/4_0.rpy:290

File "game/scenario/salles/4_1.rpy", line 291: Line with id d8af8073 appears twice. The other line is game/scenario/salles/4_0.rpy:291

File "game/scenario/salles/4_1.rpy", line 295: Line with id 1b154bf5 appears twice. The other line is game/scenario/salles/4_0.rpy:295

File "game/scenario/salles/4_1.rpy", line 299: Line with id a0bdac87 appears twice. The other line is game/scenario/salles/4_0.rpy:299

File "game/scenario/salles/4_1.rpy", line 300: Line with id cbc34d70 appears twice. The other line is game/scenario/salles/4_0.rpy:300

File "game/scenario/salles/4_1.rpy", line 304: Line with id 6aa22548 appears twice. The other line is game/scenario/salles/4_0.rpy:304

File "game/scenario/salles/4_1.rpy", line 305: Line with id 004253dd appears twice. The other line is game/scenario/salles/4_0.rpy:305

File "game/scenario/salles/4_1.rpy", line 306: Line with id f481b8d4 appears twice. The other line is game/scenario/salles/4_0.rpy:306

File "game/scenario/salles/4_1.rpy", line 310: Line with id 3794d0dd_3 appears twice. The other line is game/scenario/salles/4_0.rpy:310

File "game/scenario/salles/4_1.rpy", line 311: Line with id 2902661f appears twice. The other line is game/scenario/salles/4_0.rpy:311

File "game/scenario/salles/4_1.rpy", line 313: Line with id 39584109 appears twice. The other line is game/scenario/salles/4_0.rpy:313

File "game/scenario/salles/4_1.rpy", line 323: Line with id d3006cf8 appears twice. The other line is game/scenario/salles/4_0.rpy:323

File "game/scenario/salles/4_1.rpy", line 324: Line with id 6217fdfd appears twice. The other line is game/scenario/salles/4_0.rpy:324

File "game/scenario/salles/4_1.rpy", line 325: Line with id a0e8eff6 appears twice. The other line is game/scenario/salles/4_0.rpy:325

File "game/scenario/salles/4_1.rpy", line 331: Line with id 7d040065 appears twice. The other line is game/scenario/salles/4_0.rpy:331

File "game/scenario/salles/4_1.rpy", line 332: Line with id 662d838c appears twice. The other line is game/scenario/salles/4_0.rpy:332

File "game/scenario/salles/4_1.rpy", line 333: Line with id 490adc7c appears twice. The other line is game/scenario/salles/4_0.rpy:333

File "game/scenario/salles/4_1.rpy", line 336: Line with id 15af3cdd appears twice. The other line is game/scenario/salles/4_0.rpy:336

File "game/scenario/salles/4_1.rpy", line 337: Line with id 621a764c appears twice. The other line is game/scenario/salles/4_0.rpy:337

File "game/scenario/salles/4_1.rpy", line 343: Line with id 18d94f46 appears twice. The other line is game/scenario/salles/4_0.rpy:343

File "game/scenario/salles/4_1.rpy", line 346: Line with id 74396ffe appears twice. The other line is game/scenario/salles/4_0.rpy:346

File "game/scenario/salles/4_1.rpy", line 347: Line with id 200bd6aa appears twice. The other line is game/scenario/salles/4_0.rpy:347

File "game/scenario/salles/4_1.rpy", line 348: Line with id d9d69cc5 appears twice. The other line is game/scenario/salles/4_0.rpy:348

File "game/scenario/salles/4_1.rpy", line 349: Line with id 2a9419a2 appears twice. The other line is game/scenario/salles/4_0.rpy:349

File "game/scenario/salles/4_1.rpy", line 354: Line with id 70b1a36d appears twice. The other line is game/scenario/salles/4_0.rpy:354

File "game/scenario/salles/4_1.rpy", line 357: Line with id 3794d0dd_4 appears twice. The other line is game/scenario/salles/4_0.rpy:357

File "game/scenario/salles/4_1.rpy", line 358: Line with id 980a0e46 appears twice. The other line is game/scenario/salles/4_0.rpy:358

File "game/scenario/salles/4_1.rpy", line 359: Line with id 761dd896 appears twice. The other line is game/scenario/salles/4_0.rpy:359

File "game/scenario/salles/4_1.rpy", line 360: Line with id 2b5cd262 appears twice. The other line is game/scenario/salles/4_0.rpy:360

File "game/scenario/salles/4_1.rpy", line 361: Line with id 3d32a562 appears twice. The other line is game/scenario/salles/4_0.rpy:361

File "game/scenario/salles/4_1.rpy", line 363: Line with id 8fd18055 appears twice. The other line is game/scenario/salles/4_0.rpy:363

File "game/scenario/salles/4_1.rpy", line 364: Line with id 2947df4e appears twice. The other line is game/scenario/salles/4_0.rpy:364

File "game/scenario/salles/4_1.rpy", line 366: Line with id 9b3b802d appears twice. The other line is game/scenario/salles/4_0.rpy:366

File "game/scenario/salles/4_1.rpy", line 367: Line with id 9e71311d appears twice. The other line is game/scenario/salles/4_0.rpy:367

File "game/scenario/salles/4_1.rpy", line 371: Line with id 2bd0ce30 appears twice. The other line is game/scenario/salles/4_0.rpy:371

File "game/scenario/salles/4_1.rpy", line 372: Line with id b9df717c appears twice. The other line is game/scenario/salles/4_0.rpy:372

File "game/scenario/salles/4_1.rpy", line 378: Line with id b975b454 appears twice. The other line is game/scenario/salles/4_0.rpy:378

File "game/scenario/salles/4_1.rpy", line 379: Line with id 82d1ef33 appears twice. The other line is game/scenario/salles/4_0.rpy:379

File "game/scenario/salles/4_1.rpy", line 380: Line with id 4a2c64a8 appears twice. The other line is game/scenario/salles/4_0.rpy:380

File "game/scenario/salles/4_1.rpy", line 384: Line with id d6c87d76 appears twice. The other line is game/scenario/salles/4_0.rpy:384

File "game/scenario/salles/4_1.rpy", line 388: Line with id bea0c4fe appears twice. The other line is game/scenario/salles/4_0.rpy:388

File "game/scenario/salles/4_1.rpy", line 389: Line with id d50fe56a appears twice. The other line is game/scenario/salles/4_0.rpy:389

File "game/scenario/salles/4_1.rpy", line 393: Line with id 77b36502 appears twice. The other line is game/scenario/salles/4_0.rpy:393

File "game/scenario/salles/4_1.rpy", line 394: Line with id d4b39849 appears twice. The other line is game/scenario/salles/4_0.rpy:394

File "game/scenario/salles/4_1.rpy", line 395: Line with id 064d46ad appears twice. The other line is game/scenario/salles/4_0.rpy:395

File "game/scenario/salles/4_1.rpy", line 396: Line with id 9e61e4c1 appears twice. The other line is game/scenario/salles/4_0.rpy:396

File "game/scenario/salles/4_1.rpy", line 400: Line with id d2679f50 appears twice. The other line is game/scenario/salles/4_0.rpy:400

File "game/scenario/salles/4_1.rpy", line 401: Line with id 8d345f47 appears twice. The other line is game/scenario/salles/4_0.rpy:401

File "game/scenario/salles/4_1.rpy", line 402: Line with id ba13aa33 appears twice. The other line is game/scenario/salles/4_0.rpy:402

File "game/scenario/salles/4_1.rpy", line 406: Line with id a980aa63 appears twice. The other line is game/scenario/salles/4_0.rpy:406

File "game/scenario/salles/4_1.rpy", line 407: Line with id d2956ecf appears twice. The other line is game/scenario/salles/4_0.rpy:407

File "game/scenario/salles/4_1.rpy", line 408: Line with id 2514811b appears twice. The other line is game/scenario/salles/4_0.rpy:408

File "game/scenario/salles/4_1.rpy", line 412: Line with id 877ab6de appears twice. The other line is game/scenario/salles/4_0.rpy:412

File "game/scenario/salles/4_1.rpy", line 413: Line with id a1599b3d appears twice. The other line is game/scenario/salles/4_0.rpy:413

File "game/scenario/salles/4_1.rpy", line 414: Line with id 04125a91 appears twice. The other line is game/scenario/salles/4_0.rpy:414

File "game/scenario/salles/4_1.rpy", line 415: Line with id fda5c33e appears twice. The other line is game/scenario/salles/4_0.rpy:415

File "game/scenario/salles/4_1.rpy", line 417: Line with id 6c76593c appears twice. The other line is game/scenario/salles/4_0.rpy:417

File "game/scenario/salles/4_1.rpy", line 421: Line with id 7960ee23 appears twice. The other line is game/scenario/salles/4_0.rpy:421

File "game/scenario/salles/4_1.rpy", line 422: Line with id b77a1d2e appears twice. The other line is game/scenario/salles/4_0.rpy:422

File "game/scenario/salles/4_1.rpy", line 423: Line with id 6d11aa6d appears twice. The other line is game/scenario/salles/4_0.rpy:423

File "game/scenario/salles/4_1.rpy", line 427: Line with id 8f345ee1 appears twice. The other line is game/scenario/salles/4_0.rpy:427

File "game/scenario/salles/4_1.rpy", line 428: Line with id e3ab0799 appears twice. The other line is game/scenario/salles/4_0.rpy:428

File "game/scenario/salles/4_1.rpy", line 429: Line with id a6603451 appears twice. The other line is game/scenario/salles/4_0.rpy:429

File "game/scenario/salles/4_1.rpy", line 430: Line with id 11cabae0 appears twice. The other line is game/scenario/salles/4_0.rpy:430

File "game/scenario/salles/4_1.rpy", line 436: Line with id b6c5cf6e appears twice. The other line is game/scenario/salles/4_0.rpy:436

File "game/scenario/salles/4_1.rpy", line 445: Line with id 770f8f79 appears twice. The other line is game/scenario/salles/4_0.rpy:445

File "game/scenario/salles/4_1.rpy", line 446: Line with id 4cf79745 appears twice. The other line is game/scenario/salles/4_0.rpy:446

File "game/scenario/salles/4_1.rpy", line 452: Line with id f1f91550 appears twice. The other line is game/scenario/salles/4_0.rpy:452

File "game/scenario/salles/4_1.rpy", line 457: Line with id 68aa6841 appears twice. The other line is game/scenario/salles/4_0.rpy:457

File "game/scenario/salles/4_1.rpy", line 458: Line with id 8d68fcc7 appears twice. The other line is game/scenario/salles/4_0.rpy:458

File "game/scenario/salles/4_1.rpy", line 461: Line with id 85414b94 appears twice. The other line is game/scenario/salles/4_0.rpy:461

File "game/scenario/salles/4_1.rpy", line 462: Line with id 78c5af58 appears twice. The other line is game/scenario/salles/4_0.rpy:462

File "game/scenario/salles/4_1.rpy", line 466: Line with id 53a14121 appears twice. The other line is game/scenario/salles/4_0.rpy:466

